tx_id,timestep,in_degree,out_degree,total_degree,label
2984918,22,1,472,473,illicit
89273,1,1,288,289,illicit
43388675,10,284,0,284,illicit
68705820,10,247,0,247,illicit
30699343,37,241,0,241,illicit
96576418,7,239,0,239,illicit
225859042,5,212,0,212,unknown
279187194,4,211,0,211,illicit
234890810,11,199,0,199,unknown
196107869,46,188,0,188,illicit
43397277,10,182,0,182,illicit
68706499,10,178,0,178,illicit
30179316,37,177,0,177,licit
269905668,25,173,0,173,licit
225711361,5,167,0,167,unknown
96365231,33,166,0,166,licit
232438397,1,160,1,161,illicit
99675435,21,158,0,158,licit
121654821,6,154,2,156,unknown
355110272,32,153,0,153,licit
157929208,49,152,0,152,illicit
90716926,4,150,0,150,illicit
149158766,39,148,0,148,illicit
355174807,32,142,1,143,unknown
2881273,1,143,0,143,illicit
372745794,22,139,0,139,licit
70245040,36,133,1,134,unknown
230658142,1,134,0,134,unknown
94621528,7,132,0,132,illicit
149691712,39,128,1,129,illicit
30276715,37,129,0,129,illicit
339175100,13,127,0,127,unknown
347550863,12,126,0,126,illicit
209837677,20,124,0,124,illicit
116898498,38,124,0,124,illicit
102570,36,0,122,122,unknown
22837784,4,122,0,122,illicit
30151745,37,120,1,121,illicit
2268197,48,121,0,121,unknown
106320422,44,119,1,120,illicit
12806113,41,118,0,118,illicit
149569098,39,116,0,116,illicit
332771446,23,116,0,116,licit
38688623,47,98,15,113,illicit
155821494,45,112,1,113,unknown
3181,34,1,112,113,illicit
22837965,4,109,1,110,illicit
12780176,41,109,1,110,illicit
382997214,31,109,0,109,unknown
91934616,43,94,15,109,illicit
36364435,47,97,11,108,illicit
19170155,47,96,12,108,illicit
2758467,1,106,0,106,illicit
111575373,45,98,8,106,illicit
45766,48,98,7,105,illicit
73330801,42,104,1,105,illicit
30861039,37,105,0,105,illicit
14950377,46,97,6,103,illicit
12172125,45,94,9,103,illicit
269905671,25,102,0,102,licit
163879834,29,102,0,102,unknown
91882349,43,100,1,101,illicit
2947436,46,96,4,100,illicit
12806606,41,99,1,100,illicit
26181447,47,97,3,100,illicit
7952,48,1,99,100,illicit
19670253,45,91,8,99,illicit
234899430,11,99,0,99,unknown
6418,48,97,2,99,illicit
156063345,45,94,4,98,illicit
47066538,42,93,4,97,illicit
2881274,1,97,0,97,illicit
3510576,47,97,0,97,illicit
38615823,47,94,2,96,illicit
73227485,42,94,2,96,illicit
156313815,45,95,1,96,illicit
1891081,27,0,95,95,unknown
269905669,25,95,0,95,licit
308007318,22,94,0,94,illicit
64852016,45,92,2,94,illicit
11193869,45,93,1,94,illicit
178102917,47,93,1,94,illicit
339120938,13,93,1,94,unknown
20521889,45,87,7,94,illicit
72753731,42,92,1,93,illicit
73327121,42,93,0,93,illicit
12780542,41,92,1,93,illicit
29359565,42,93,0,93,illicit
13333148,41,93,0,93,illicit
12665008,41,84,9,93,illicit
35617620,45,92,1,93,illicit
53063584,45,86,6,92,illicit
94256093,43,91,1,92,illicit
143705,45,0,92,92,unknown
91961924,43,88,3,91,illicit
179084283,9,91,0,91,unknown
106302011,44,90,1,91,illicit
3509407,46,90,1,91,illicit
12649359,42,90,1,91,illicit
565334,10,1,90,91,illicit
