source,target,source_label,target_label
232438397,232022460,illicit,unknown
232438397,232047899,illicit,illicit
232438397,3877118,illicit,illicit
232438397,92491280,illicit,illicit
232438397,230452718,illicit,unknown
232029206,232013274,illicit,unknown
232029206,230391412,illicit,illicit
232029206,91411167,illicit,illicit
232029206,232008929,illicit,unknown
232029206,232346069,illicit,unknown
232344069,27553029,illicit,illicit
232344069,234419685,illicit,illicit
27553029,232344069,illicit,illicit
27553029,230411688,illicit,illicit
3881097,232457116,illicit,illicit
3881097,89273,illicit,illicit
232457116,3881097,illicit,illicit
232457116,232457119,illicit,illicit
232412405,232412408,illicit,unknown
232470342,232038018,illicit,unknown
232470342,60492027,illicit,illicit
232470342,232353289,illicit,illicit
232470342,89273,illicit,illicit
232470342,232361286,illicit,illicit
230550393,2925426,illicit,unknown
230550393,232010785,illicit,unknown
230550393,4070614,illicit,unknown
230550393,232022496,illicit,unknown
230550393,12476617,illicit,unknown
232051089,232470704,illicit,illicit
232051089,3875004,illicit,illicit
232051089,232051257,illicit,unknown
232470704,232051089,illicit,illicit
232470704,33824628,illicit,illicit
232470704,76866560,illicit,illicit
232033533,230470022,illicit,unknown
232033533,232035280,illicit,illicit
230473487,7089694,illicit,illicit
230473487,232376719,illicit,unknown
7089694,230473487,illicit,illicit
7089694,60492027,illicit,illicit
7089694,230473575,illicit,unknown
7089694,52418452,illicit,illicit
7089694,199635150,illicit,illicit
231179595,3307463,illicit,unknown
231177927,5234549,illicit,unknown
2758467,232431877,illicit,unknown
2758467,21763735,illicit,unknown
2758467,232431922,illicit,unknown
2758467,232431890,illicit,unknown
2758467,232404259,illicit,unknown
232437171,81273879,illicit,unknown
232437171,232437270,illicit,unknown
232437171,89273,illicit,illicit
3878886,3878856,illicit,unknown
3878886,32477878,illicit,unknown
231182296,14660781,illicit,illicit
231182296,231193137,illicit,illicit
231182296,232907868,illicit,illicit
14660781,231182296,illicit,illicit
14660781,217239370,illicit,illicit
43358239,230528714,illicit,illicit
230528714,43358239,illicit,illicit
230528714,230528710,illicit,illicit
230585122,231208959,illicit,unknown
230585122,96329459,illicit,unknown
2881274,230455950,illicit,unknown
2881274,230530380,illicit,unknown
2881274,2893846,illicit,unknown
2881274,230531179,illicit,unknown
2881274,230457910,illicit,unknown
2881273,230530291,illicit,unknown
2881273,230348238,illicit,unknown
2881273,230530309,illicit,unknown
2881273,3908453,illicit,unknown
2881273,230530242,illicit,unknown
230516478,230516010,illicit,unknown
230516478,230521273,illicit,unknown
5488136,27553759,illicit,illicit
