node_idx,label,degree,n_illicit_neighbors,n_licit_neighbors,n_unknown_neighbors,illicit_neighbor_ratio,neighbor_feat0_mean,neighbor_feat0_std
3,illicit,161,61,1,99,0.9838709677419355,-0.12838368117809296,0.1342765986919403
9,illicit,60,23,0,37,1.0,-0.13215644657611847,0.10066365450620651
10,illicit,2,2,0,0,1.0,-0.16041946411132812,0.009062729775905609
11,illicit,2,2,0,0,1.0,-0.1502613127231598,0.00240885466337204
16,illicit,2,2,0,0,1.0,2.514901638031006,2.6872053146362305
17,illicit,2,2,0,0,1.0,-0.17242348194122314,0.00011768192052841187
25,illicit,1,0,0,1,0.0,-0.16509689390659332,0.0
27,illicit,7,5,0,2,1.0,0.5958431363105774,1.8805001974105835
29,illicit,21,8,0,13,1.0,-0.12584316730499268,0.10770139843225479
30,illicit,3,2,0,1,1.0,-0.17252886295318604,0.0005485556903295219
31,illicit,3,3,0,0,1.0,-0.1305237114429474,0.059948455542325974
44,illicit,2,1,0,1,1.0,-0.16229090094566345,0.0026203468441963196
52,illicit,2,1,0,1,1.0,-0.16479924321174622,0.007191203534603119
53,illicit,5,4,0,1,1.0,-0.16791203618049622,0.004575002007186413
54,illicit,1,0,0,1,0.0,-0.17183786630630493,0.0
59,illicit,1,0,0,1,0.0,-0.17194147408008575,0.0
61,illicit,106,22,0,84,1.0,0.000993112102150917,1.313875675201416
63,illicit,3,1,0,2,1.0,1.6224164962768555,2.531224250793457
65,illicit,2,0,0,2,0.0,-0.17177002131938934,0.0011151283979415894
66,illicit,3,3,0,0,1.0,-0.17253141105175018,0.00018964550690725446
67,illicit,2,2,0,0,1.0,-0.17254149913787842,0.00023158639669418335
79,illicit,1,1,0,0,1.0,-0.030549608170986176,0.0
80,illicit,2,2,0,0,1.0,-0.0666981190443039,0.03681237995624542
83,illicit,2,0,0,2,0.0,-0.17113032937049866,0.0008416697382926941
86,illicit,97,8,0,89,1.0,-0.14282314479351044,0.07765849679708481
90,illicit,143,8,0,135,1.0,-0.15315771102905273,0.05974266678094864
96,illicit,2,0,0,2,0.0,-0.17252758145332336,0.00013971328735351562
99,illicit,2,2,0,0,1.0,-0.17246079444885254,0.00012616068124771118
100,illicit,2,1,0,1,1.0,-0.17246946692466736,0.00013420730829238892
102,illicit,4,2,0,2,1.0,-0.13758589327335358,0.05758743733167648
105,illicit,3,2,0,1,1.0,-0.17073410749435425,0.0008641558815725148
106,illicit,2,2,0,0,1.0,-0.17065784335136414,0.0010533854365348816
108,illicit,2,1,0,1,1.0,0.07628422230482101,0.2485487461090088
109,illicit,3,3,0,0,1.0,-0.052649352699518204,0.15252596139907837
110,illicit,2,2,0,0,1.0,-0.1610848605632782,0.00021997839212417603
112,illicit,3,0,0,3,0.0,-0.17021983861923218,0.002336751902475953
130,illicit,289,245,0,44,1.0,-0.024761244654655457,1.0541378259658813
131,illicit,1,1,0,0,1.0,5.202106952667236,0.0
132,illicit,2,2,0,0,1.0,2.5169503688812256,2.6851565837860107
133,illicit,2,1,0,1,1.0,-0.16935715079307556,0.0011517032980918884
134,illicit,1,0,0,1,0.0,-0.17279058694839478,0.0
136,illicit,2,1,0,1,1.0,-0.16593438386917114,0.00506950169801712
139,illicit,3,1,0,2,1.0,-0.17157162725925446,0.0006072741816751659
140,illicit,2,2,0,0,1.0,-0.17225542664527893,6.295745151874144e-06
141,illicit,1,1,0,0,1.0,5.202106952667236,0.0
143,illicit,1,0,0,1,0.0,-0.17266729474067688,0.0
145,illicit,28,26,0,2,1.0,-0.14523707330226898,0.0789543017745018
146,illicit,2,2,0,0,1.0,-0.09188719838857651,0.07861942797899246
148,illicit,2,1,0,1,1.0,-0.040325190871953964,0.13265365362167358
149,illicit,2,2,0,0,1.0,-0.16805782914161682,0.0017945021390914917
150,illicit,2,1,0,1,1.0,-0.16072174906730652,0.007280275225639343
163,illicit,3,0,0,3,0.0,-0.17215366661548615,0.0005729062831960618
165,illicit,2,1,0,1,1.0,-0.1729763150215149,1.259170176126645e-06
166,illicit,2,2,0,0,1.0,-0.004960678517818451,0.168014794588089
167,illicit,2,2,0,0,1.0,2.514566421508789,2.6875405311584473
171,illicit,3,0,0,3,0.0,0.009791095741093159,0.22220773994922638
176,illicit,1,1,0,0,1.0,-0.163213312625885,0.0
177,illicit,2,2,0,0,1.0,-0.16630101203918457,0.004184305667877197
180,illicit,2,2,0,0,1.0,2.5160648822784424,2.686041831970215
181,illicit,2,2,0,0,1.0,-0.17003655433654785,6.271898746490479e-05
184,illicit,3,1,0,2,1.0,-0.17243213951587677,0.00017753001884557307
185,illicit,4,2,0,2,1.0,-0.1726924628019333,0.00020456868514884263
191,illicit,1,0,0,1,0.0,-0.17226403951644897,0.0
199,illicit,4,4,0,0,1.0,-0.10972761362791061,5.5668446293566376e-05
200,illicit,3,3,0,0,1.0,1.6608637571334839,2.5040369033813477
207,illicit,2,1,0,1,1.0,1.1393498182296753,1.3116804361343384
214,illicit,3,0,0,3,0.0,-0.17168648540973663,0.0010056084720417857
215,illicit,7,2,0,5,1.0,0.02333800308406353,0.42237335443496704
223,illicit,2,2,0,0,1.0,-0.17076455056667328,0.0019241571426391602
224,illicit,2,2,0,0,1.0,-0.004784785211086273,0.1678389012813568
229,illicit,2,2,0,0,1.0,-0.09274385869503021,0.07947609573602676
230,illicit,2,2,0,0,1.0,-0.17224547266960144,2.492219391569961e-05
233,illicit,3,3,0,0,1.0,-0.09017693996429443,0.06027577072381973
